                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4219,                  1.067,                 1.9394,                0.92322,                0.86303,                0.94142,                 0.6034,                 1.2694,                 1.2609,                 1.8202,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4354,                 1.0643,                 1.9352,                0.91196,                  0.811,                0.91113,                0.60069,                  1.269,                 1.0599,                 1.8636,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3624,                 1.0266,                 1.8571,                0.90765,                0.87001,                0.95534,                0.66758,                 1.1002,                 0.9591,                 1.6839,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.363,                 1.0771,                 1.8242,                0.89029,                0.80622,                0.89241,                0.59558,                 1.2525,                  1.183,                 1.7977,               0.001307,               0.001307,               0.001307
                     38,                  1.336,                 1.0087,                 1.8241,                0.89201,                0.89713,                0.94358,                0.67373,                 1.0273,                 0.9437,                 1.6446,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3297,                 1.0183,                 1.8229,                0.87461,                0.79426,                0.89213,                0.50701,                 1.4764,                 1.0473,                 2.0437,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4059,                 1.0043,                  1.888,                0.93021,                0.89278,                0.94409,                0.67084,                 1.0786,                0.86405,                 1.6988,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2537,                0.95455,                 1.7498,                0.85741,                0.92065,                0.94858,                0.63124,                 1.1693,                0.93704,                 1.7044,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3023,                0.93483,                 1.7807,                0.92701,                0.91149,                0.96289,                0.67196,                 1.0919,                0.80151,                 1.6323,               0.001208,               0.001208,               0.001208
                     43,                 1.3206,                0.92405,                 1.8092,                  0.938,                0.92344,                0.97746,                0.68605,                 1.1005,                0.79482,                 1.6699,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2684,                0.92704,                 1.7262,                0.87978,                 0.9067,                 0.9572,                 0.6293,                 1.1568,                  1.034,                 1.6768,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2121,                 0.9253,                 1.7202,                0.94536,                  0.952,                0.97894,                0.69432,                 1.0531,                0.80394,                 1.6192,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2484,                 0.9341,                  1.721,                0.95259,                0.86523,                0.95294,                0.63304,                 1.2049,                0.86688,                 1.6886,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2261,                0.92839,                 1.7146,                0.84891,                0.83014,                0.88982,                0.64386,                 1.0536,                0.97737,                 1.6223,               0.001109,               0.001109,               0.001109
                     48,                 1.2389,                0.95075,                 1.7332,                0.94199,                0.93239,                0.97271,                 0.7086,                 1.0281,                0.73312,                 1.5728,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.202,                0.89583,                 1.6841,                0.94937,                0.94214,                0.98118,                0.71225,                0.98756,                0.74198,                 1.5414,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1964,                0.83543,                 1.6919,                 0.9382,                0.94436,                0.98058,                0.71065,                0.99076,                0.80041,                 1.5733,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1994,                0.86597,                 1.6843,                0.92797,                0.89379,                0.94788,                0.68925,                 1.0215,                0.83939,                 1.5978,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1628,                0.84952,                 1.6596,                0.92073,                0.92105,                0.96881,                0.68921,                 1.0097,                0.80575,                 1.5226,                0.00101,                0.00101,                0.00101
                     53,                 1.1549,                0.83439,                 1.6215,                0.95119,                0.94737,                0.97865,                0.72968,                0.92108,                0.72351,                 1.4579,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1249,                0.82597,                  1.617,                0.95486,                0.91088,                0.97184,                0.74085,                0.90557,                 0.6891,                 1.4734,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1615,                0.82152,                  1.611,                0.95145,                0.93769,                0.98281,                 0.7222,                0.97651,                0.67884,                 1.4978,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.146,                0.80988,                 1.6061,                0.96548,                0.92823,                0.97731,                0.74788,                 0.9139,                0.68308,                 1.4843,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1358,                0.80377,                 1.5965,                0.96636,                0.92344,                0.97422,                0.73776,                 0.9208,                0.66967,                 1.4871,               0.000911,               0.000911,               0.000911
                     58,                 1.1281,                0.79466,                 1.5897,                0.93419,                0.95082,                0.98052,                0.74985,                0.86687,                0.62853,                 1.4301,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1771,                0.82528,                 1.6685,                0.96672,                0.91866,                0.97628,                0.73813,                0.92317,                0.65948,                 1.4527,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1937,                 0.8369,                  1.651,                 0.9566,                0.92344,                0.98267,                0.74462,                0.91788,                0.68488,                 1.4786,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0933,                0.79208,                 1.5805,                0.96135,                0.92584,                 0.9788,                0.75302,                0.87594,                0.62183,                 1.4204,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0944,                0.76146,                 1.5848,                0.95946,                0.97368,                0.98716,                0.75699,                0.86703,                0.59872,                 1.4203,               0.000812,               0.000812,               0.000812
                     63,                 1.0583,                0.74105,                 1.5597,                 0.9663,                0.94737,                0.98989,                0.77507,                0.83423,                0.60802,                 1.3959,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.069,                 0.7646,                   1.56,                0.98155,                0.92823,                   0.98,                0.70626,                 0.9861,                 0.6597,                 1.4789,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1014,                0.78372,                 1.5755,                0.95733,                0.91388,                0.96742,                0.73065,                0.92417,                0.66894,                 1.4472,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0899,                0.74085,                 1.5487,                0.97614,                0.95933,                0.98881,                0.76165,                0.87007,                0.58509,                 1.3838,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1043,                0.74561,                 1.5648,                0.97846,                0.94976,                 0.9842,                0.73929,                0.93691,                0.59646,                 1.4598,               0.000713,               0.000713,               0.000713
                     68,                 1.0783,                0.72449,                 1.5553,                0.97595,                  0.971,                 0.9871,                 0.7919,                0.77348,                0.55422,                 1.3553,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0364,                0.74129,                 1.5231,                0.97577,                0.96344,                0.98812,                0.80138,                0.75201,                0.58779,                 1.3155,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0091,                0.71902,                 1.5028,                 0.9776,                0.95215,                0.99144,                0.77663,                0.82759,                 0.5729,                 1.3884,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0404,                 0.7098,                 1.5257,                0.98533,                0.96384,                0.99232,                0.80011,                0.74558,                0.55002,                 1.3196,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0115,                0.73782,                 1.5131,                0.97359,                0.97129,                 0.9922,                0.79577,                0.77568,                0.55004,                  1.316,               0.000614,               0.000614,               0.000614
                     73,                0.99636,                0.68688,                 1.4757,                 0.9711,                0.97129,                0.99067,                0.77787,                0.82295,                0.55698,                 1.3573,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0189,                0.69249,                 1.5208,                0.98089,                0.98231,                0.99074,                0.77215,                 0.8262,                0.54874,                 1.3528,              0.0005744,              0.0005744,              0.0005744
                     75,                0.98747,                0.67696,                 1.4832,                0.99125,                 0.9689,                0.99378,                0.79491,                0.75952,                0.52193,                 1.3134,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0239,                0.69752,                 1.5311,                0.94812,                0.95694,                0.97958,                0.78616,                0.78113,                0.56735,                 1.3276,              0.0005348,              0.0005348,              0.0005348
                     77,                0.99275,                0.71931,                 1.4759,                 0.9713,                0.97169,                0.99075,                0.81286,                0.70316,                0.51824,                 1.2669,               0.000515,               0.000515,               0.000515
                     78,                 1.0284,                0.71154,                  1.508,                0.96182,                0.96411,                 0.9897,                0.78017,                0.76091,                0.56849,                 1.2961,              0.0004952,              0.0004952,              0.0004952
                     79,                0.93702,                0.65479,                 1.4484,                0.98712,                 0.9689,                0.99176,                0.81199,                0.72371,                0.51168,                 1.2773,              0.0004754,              0.0004754,              0.0004754
                     80,                0.98047,                0.69065,                 1.4558,                0.96786,                0.94976,                0.98226,                0.78402,                0.78537,                0.54502,                 1.3239,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.9984,                0.69462,                 1.4704,                0.98777,                0.96647,                0.98769,                0.81656,                0.69276,                0.56587,                 1.2393,              0.0004358,              0.0004358,              0.0004358
                     82,                0.96197,                 0.6695,                 1.4505,                0.97857,                0.95455,                0.99108,                0.78353,                0.77953,                0.53198,                 1.2976,               0.000416,               0.000416,               0.000416
                     83,                0.96422,                0.67148,                 1.4682,                0.97111,                0.95694,                0.99114,                0.80955,                0.72849,                 0.5222,                  1.263,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.9405,                0.67497,                 1.4315,                0.98042,                0.97608,                 0.9937,                0.82333,                0.69729,                0.48922,                 1.2535,              0.0003764,              0.0003764,              0.0003764
                     85,                0.97442,                0.68426,                 1.4777,                0.98036,                0.98804,                0.99399,                0.80829,                 0.7256,                0.48597,                 1.2575,              0.0003566,              0.0003566,              0.0003566
                     86,                0.95306,                0.68173,                 1.4365,                0.97176,                0.98796,                0.99367,                0.83195,                0.69856,                0.50099,                 1.2519,              0.0003368,              0.0003368,              0.0003368
                     87,                0.95484,                0.66246,                 1.4445,                0.98404,                0.97129,                0.99265,                0.83644,                 0.6776,                0.47878,                 1.2417,               0.000317,               0.000317,               0.000317
                     88,                0.90061,                0.65031,                 1.4251,                0.97833,                0.98804,                0.99289,                0.82921,                0.67752,                0.46783,                 1.2354,              0.0002972,              0.0002972,              0.0002972
